10:1:0:1000000000:1:H:/DetectiveConan/Rips/10-1\title_t00.mkv:Chapter 01
10:1:1000000000:8510000000:2:H:/DetectiveConan/Rips/10-1\title_t00.mkv:Chapter 02
10:1:8510000000:12740000000:3:H:/DetectiveConan/Rips/10-1\title_t00.mkv:Chapter 03
10:1:12740000000:14250000000:4:H:/DetectiveConan/Rips/10-1\title_t00.mkv:Chapter 04
10:1:14250000000:14670000000:5:H:/DetectiveConan/Rips/10-1\title_t00.mkv:Chapter 05
10:1:14670000000:15670000000:6:H:/DetectiveConan/Rips/10-1\title_t00.mkv:Chapter 06
10:1:15670000000:23140000000:7:H:/DetectiveConan/Rips/10-1\title_t00.mkv:Chapter 07
10:1:23140000000:28060000000:8:H:/DetectiveConan/Rips/10-1\title_t00.mkv:Chapter 08
10:1:28060000000:28920000000:9:H:/DetectiveConan/Rips/10-1\title_t00.mkv:Chapter 09
10:1:28920000000:29340000000:10:H:/DetectiveConan/Rips/10-1\title_t00.mkv:Chapter 10
10:1:29340000000:30340000000:11:H:/DetectiveConan/Rips/10-1\title_t00.mkv:Chapter 11
10:1:30340000000:34700000000:12:H:/DetectiveConan/Rips/10-1\title_t00.mkv:Chapter 12
10:1:34700000000:42210000000:13:H:/DetectiveConan/Rips/10-1\title_t00.mkv:Chapter 13
10:1:42210000000:43590000000:14:H:/DetectiveConan/Rips/10-1\title_t00.mkv:Chapter 14
10:1:43590000000:44010000000:15:H:/DetectiveConan/Rips/10-1\title_t00.mkv:Chapter 15
10:1:44010000000:45010000000:16:H:/DetectiveConan/Rips/10-1\title_t00.mkv:Chapter 16
10:1:45010000000:51990000000:17:H:/DetectiveConan/Rips/10-1\title_t00.mkv:Chapter 17
10:1:51990000000:56940000000:18:H:/DetectiveConan/Rips/10-1\title_t00.mkv:Chapter 18
10:1:56940000000:58270000000:19:H:/DetectiveConan/Rips/10-1\title_t00.mkv:Chapter 19
10:1:58270000000:58690000000:20:H:/DetectiveConan/Rips/10-1\title_t00.mkv:Chapter 20
10:2:0:1000000000:1:H:/DetectiveConan/Rips/10-2\title_t00.mkv:Chapter 01
10:2:1000000000:8790000000:2:H:/DetectiveConan/Rips/10-2\title_t00.mkv:Chapter 02
10:2:8790000000:13380000000:3:H:/DetectiveConan/Rips/10-2\title_t00.mkv:Chapter 03
10:2:13380000000:14250000000:4:H:/DetectiveConan/Rips/10-2\title_t00.mkv:Chapter 04
10:2:14250000000:14670000000:5:H:/DetectiveConan/Rips/10-2\title_t00.mkv:Chapter 05
10:2:14670000000:15690000000:6:H:/DetectiveConan/Rips/10-2\title_t00.mkv:Chapter 06
